blood_oxygen,heart_rate,id,temperature,timestamp
91,99,8385,31.2442,"Sat, 28 Sep 2024 17:00:34 GMT"
96,70,8384,32.1665,"Sat, 28 Sep 2024 17:00:33 GMT"
98,79,8383,38.1446,"Sat, 28 Sep 2024 17:00:32 GMT"
93,84,8382,31.0586,"Sat, 28 Sep 2024 17:00:31 GMT"
97,89,8381,32.7739,"Sat, 28 Sep 2024 17:00:30 GMT"
100,73,8380,31.2591,"Sat, 28 Sep 2024 17:00:29 GMT"
100,70,8379,37.8886,"Sat, 28 Sep 2024 17:00:28 GMT"
95,66,8378,39.9782,"Sat, 28 Sep 2024 17:00:27 GMT"
94,79,8377,37.5121,"Sat, 28 Sep 2024 17:00:26 GMT"
97,86,8376,37.521,"Sat, 28 Sep 2024 17:00:25 GMT"
93,74,8375,33.0247,"Sat, 28 Sep 2024 17:00:24 GMT"
100,81,8374,39.2388,"Sat, 28 Sep 2024 17:00:22 GMT"
98,77,8373,39.3834,"Sat, 28 Sep 2024 17:00:21 GMT"
97,99,8372,31.0124,"Sat, 28 Sep 2024 17:00:20 GMT"
90,76,8371,34.4403,"Sat, 28 Sep 2024 17:00:19 GMT"
92,97,8370,34.0366,"Sat, 28 Sep 2024 17:00:18 GMT"
93,71,8369,37.079,"Sat, 28 Sep 2024 17:00:17 GMT"
99,82,8368,34.0328,"Sat, 28 Sep 2024 17:00:16 GMT"
98,99,8367,35.4089,"Sat, 28 Sep 2024 17:00:15 GMT"
97,88,8366,30.205,"Sat, 28 Sep 2024 17:00:14 GMT"
93,87,8365,38.3557,"Sat, 28 Sep 2024 17:00:13 GMT"
93,62,8364,37.3836,"Sat, 28 Sep 2024 17:00:12 GMT"
92,65,8363,33.5035,"Sat, 28 Sep 2024 17:00:11 GMT"
95,71,8362,35.5863,"Sat, 28 Sep 2024 17:00:10 GMT"
92,85,8361,31.4019,"Sat, 28 Sep 2024 17:00:09 GMT"
99,95,8360,36.3972,"Sat, 28 Sep 2024 17:00:08 GMT"
100,61,8359,38.6546,"Sat, 28 Sep 2024 17:00:07 GMT"
97,85,8358,37.1144,"Sat, 28 Sep 2024 17:00:06 GMT"
98,64,8357,30.9467,"Sat, 28 Sep 2024 17:00:05 GMT"
91,78,8356,31.9417,"Sat, 28 Sep 2024 17:00:04 GMT"
96,65,8355,33.4098,"Sat, 28 Sep 2024 17:00:03 GMT"
91,86,8354,34.4176,"Sat, 28 Sep 2024 17:00:02 GMT"
94,100,8353,39.4836,"Sat, 28 Sep 2024 17:00:01 GMT"
97,69,8352,31.1983,"Sat, 28 Sep 2024 17:00:00 GMT"
93,75,8351,32.6032,"Sat, 28 Sep 2024 16:59:59 GMT"
98,89,8350,37.5787,"Sat, 28 Sep 2024 16:59:57 GMT"
94,64,8349,38.5127,"Sat, 28 Sep 2024 16:59:56 GMT"
100,69,8348,37.1461,"Sat, 28 Sep 2024 16:59:55 GMT"
100,77,8347,36.2365,"Sat, 28 Sep 2024 16:59:54 GMT"
91,70,8346,32.9582,"Sat, 28 Sep 2024 16:59:53 GMT"
90,70,8345,33.501,"Sat, 28 Sep 2024 16:59:52 GMT"
97,89,8344,30.7619,"Sat, 28 Sep 2024 16:59:51 GMT"
94,68,8343,31.9673,"Sat, 28 Sep 2024 16:59:50 GMT"
92,99,8342,39.8949,"Sat, 28 Sep 2024 16:59:49 GMT"
97,85,8341,33.6092,"Sat, 28 Sep 2024 16:59:48 GMT"
99,73,8340,32.4196,"Sat, 28 Sep 2024 16:59:47 GMT"
92,75,8339,35.1236,"Sat, 28 Sep 2024 16:59:46 GMT"
91,93,8338,35.4178,"Sat, 28 Sep 2024 16:59:45 GMT"
100,74,8337,35.569,"Sat, 28 Sep 2024 16:59:44 GMT"
98,100,8336,37.5324,"Sat, 28 Sep 2024 16:59:43 GMT"
93,72,8335,37.5104,"Sat, 28 Sep 2024 16:59:42 GMT"
96,87,8334,33.1904,"Sat, 28 Sep 2024 16:59:41 GMT"
94,69,8333,38.991,"Sat, 28 Sep 2024 16:59:40 GMT"
95,62,8332,36.6936,"Sat, 28 Sep 2024 16:59:39 GMT"
93,68,8331,33.5888,"Sat, 28 Sep 2024 16:59:38 GMT"
96,88,8330,39.5728,"Sat, 28 Sep 2024 16:59:37 GMT"
97,80,8329,35.4142,"Sat, 28 Sep 2024 16:59:36 GMT"
91,87,8328,36.1898,"Sat, 28 Sep 2024 16:59:35 GMT"
93,93,8327,38.8526,"Sat, 28 Sep 2024 16:59:34 GMT"
91,81,8326,32.3346,"Sat, 28 Sep 2024 16:59:33 GMT"
97,97,8325,30.4648,"Sat, 28 Sep 2024 16:59:31 GMT"
99,64,8324,38.2238,"Sat, 28 Sep 2024 16:59:30 GMT"
94,71,8323,36.5603,"Sat, 28 Sep 2024 16:59:29 GMT"
99,78,8322,31.2747,"Sat, 28 Sep 2024 16:59:28 GMT"
94,84,8321,35.1966,"Sat, 28 Sep 2024 16:59:27 GMT"
98,62,8320,31.4294,"Sat, 28 Sep 2024 16:59:26 GMT"
93,79,8319,35.5783,"Sat, 28 Sep 2024 16:59:25 GMT"
90,86,8318,35.5629,"Sat, 28 Sep 2024 16:59:24 GMT"
94,95,8317,34.4736,"Sat, 28 Sep 2024 16:59:23 GMT"
91,89,8316,32.9542,"Sat, 28 Sep 2024 16:59:22 GMT"
96,95,8315,31.8042,"Sat, 28 Sep 2024 16:59:21 GMT"
90,66,8314,32.3403,"Sat, 28 Sep 2024 16:59:20 GMT"
94,78,8313,32.8743,"Sat, 28 Sep 2024 16:59:19 GMT"
94,65,8312,37.8096,"Sat, 28 Sep 2024 16:59:18 GMT"
95,78,8311,31.4648,"Sat, 28 Sep 2024 16:59:17 GMT"
91,72,8310,31.3791,"Sat, 28 Sep 2024 16:59:16 GMT"
94,81,8309,38.7133,"Sat, 28 Sep 2024 16:59:15 GMT"
97,68,8308,35.2573,"Sat, 28 Sep 2024 16:59:14 GMT"
97,99,8307,35.7783,"Sat, 28 Sep 2024 16:59:13 GMT"
91,77,8306,30.8817,"Sat, 28 Sep 2024 16:59:12 GMT"
95,70,8305,34.7362,"Sat, 28 Sep 2024 16:59:11 GMT"
90,82,8304,35.7435,"Sat, 28 Sep 2024 16:59:10 GMT"
100,90,8303,36.4156,"Sat, 28 Sep 2024 16:59:09 GMT"
95,93,8302,31.1245,"Sat, 28 Sep 2024 16:59:08 GMT"
98,80,8301,30.1228,"Sat, 28 Sep 2024 16:59:07 GMT"
100,84,8300,30.9519,"Sat, 28 Sep 2024 16:59:06 GMT"
95,83,8299,37.5994,"Sat, 28 Sep 2024 16:59:05 GMT"
100,91,8298,30.1423,"Sat, 28 Sep 2024 16:59:04 GMT"
96,76,8297,33.0058,"Sat, 28 Sep 2024 16:59:02 GMT"
92,77,8296,30.1237,"Sat, 28 Sep 2024 16:59:01 GMT"
100,82,8295,32.5116,"Sat, 28 Sep 2024 16:59:00 GMT"
97,83,8294,30.0135,"Sat, 28 Sep 2024 16:58:59 GMT"
99,67,8293,38.4358,"Sat, 28 Sep 2024 16:58:58 GMT"
90,92,8292,30.2909,"Sat, 28 Sep 2024 16:58:57 GMT"
90,69,8291,35.8688,"Sat, 28 Sep 2024 16:58:56 GMT"
93,61,8290,33.7476,"Sat, 28 Sep 2024 16:58:55 GMT"
100,67,8289,34.8603,"Sat, 28 Sep 2024 16:58:54 GMT"
98,93,8288,37.4034,"Sat, 28 Sep 2024 16:58:53 GMT"
94,91,8287,39.0374,"Sat, 28 Sep 2024 16:58:52 GMT"
100,81,8286,39.0888,"Sat, 28 Sep 2024 16:58:51 GMT"
90,74,8285,33.9838,"Sat, 28 Sep 2024 16:58:50 GMT"
91,67,8284,33.3517,"Sat, 28 Sep 2024 16:58:49 GMT"
91,64,8283,30.1516,"Sat, 28 Sep 2024 16:58:48 GMT"
93,87,8282,34.7653,"Sat, 28 Sep 2024 16:58:47 GMT"
100,67,8281,34.9164,"Sat, 28 Sep 2024 16:58:46 GMT"
98,66,8280,32.6989,"Sat, 28 Sep 2024 16:58:45 GMT"
91,64,8279,31.2333,"Sat, 28 Sep 2024 16:58:44 GMT"
100,93,8278,38.4249,"Sat, 28 Sep 2024 16:58:43 GMT"
91,93,8277,33.092,"Sat, 28 Sep 2024 16:58:42 GMT"
